h3,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
891e064cb4bffff,0,0,0,0,0,0,0,0,0,0
891e064cb4fffff,0,0,0,0,0,0,0,0,1,1
891e064cb53ffff,0,0,0,0,0,0,0,0,3,1
891e064cb57ffff,0,0,0,0,0,0,0,0,9,0
891e064cb5bffff,0,0,0,0,0,0,0,0,0,0
891e064cb63ffff,0,0,0,0,0,0,0,0,0,0
891e064cb67ffff,0,0,0,0,0,0,0,0,0,0
891e064cb6bffff,0,0,0,0,0,0,0,0,0,1
891e064cb6fffff,0,0,0,1,1,0,0,0,0,0
891e064cb73ffff,0,0,0,0,0,0,0,0,0,0
891e064cb77ffff,0,0,0,0,0,0,0,0,0,0
891e064cb7bffff,0,0,0,0,0,0,0,0,0,0
891e064cb83ffff,0,0,0,2,0,0,0,0,2,1
891e064cb87ffff,0,0,0,0,0,0,0,0,0,0
891e064cb8bffff,0,0,0,0,0,1,1,1,2,3
891e064cb8fffff,0,0,0,0,0,0,0,0,0,0
891e064cb93ffff,0,0,0,0,0,0,0,0,0,0
891e064cb97ffff,0,0,0,0,0,0,0,0,0,0
891e064cb9bffff,0,0,0,0,0,1,0,0,1,2
891e064cba3ffff,0,0,0,0,0,0,0,0,0,0
891e064cba7ffff,0,0,0,0,0,0,0,2,2,2
891e064cbabffff,0,0,0,0,0,0,0,0,0,0
891e064cbafffff,0,0,0,0,0,0,0,0,0,0
891e064cbb3ffff,0,0,0,0,0,0,0,0,0,0
891e064cbb7ffff,0,0,0,0,0,0,0,0,0,0
891e064cbbbffff,0,0,0,0,0,0,0,0,0,0
891e064cbc3ffff,0,1,1,1,0,0,0,0,0,0
891e064cbc7ffff,1,0,1,0,0,1,1,1,0,1
891e064cbcbffff,1,1,1,0,0,0,0,0,0,0
891e064cbcfffff,0,0,0,0,0,0,0,0,2,1
891e064cbd3ffff,0,0,0,0,0,0,0,0,0,0
891e064cbd7ffff,0,0,0,0,0,0,0,0,0,0
891e064cd2fffff,0,0,0,0,0,0,0,0,0,0
891e064cd43ffff,0,0,0,0,0,0,0,0,0,0
891e064cd47ffff,0,0,0,0,0,0,0,0,0,0
891e064cd4bffff,0,0,0,0,0,0,0,0,0,0
891e064cd4fffff,0,0,0,0,0,0,0,0,0,0
891e064cd63ffff,0,0,0,0,0,0,0,0,0,0
891e064cd67ffff,0,0,0,0,0,0,0,0,0,0
891e064cd6bffff,0,0,0,0,0,0,0,0,0,0
891e064cd6fffff,0,0,0,0,0,0,0,0,0,0
891e064cd73ffff,0,0,0,0,0,0,0,0,0,0
891e064cd7bffff,0,0,0,0,0,0,0,0,0,0
891e064d203ffff,0,0,0,0,0,0,0,0,0,0
891e064d20bffff,0,0,0,0,0,0,0,0,0,0
891e064d20fffff,0,0,0,0,0,0,0,0,0,0
891e064d22bffff,0,0,0,0,0,0,0,0,0,0
891e064d24fffff,0,0,0,0,0,0,0,0,0,0
891e064d263ffff,0,0,0,0,0,0,0,0,0,0
891e064d267ffff,0,0,0,0,0,0,0,0,0,0
891e064d26bffff,0,0,0,0,0,0,0,0,0,0
891e064d26fffff,0,0,0,0,0,0,0,0,0,0
891e064d273ffff,0,0,0,0,0,0,0,0,0,0
891e064d277ffff,0,0,0,0,0,0,0,0,0,0
891e064d27bffff,0,0,0,0,0,0,0,0,0,0
891e064d803ffff,0,0,0,0,0,0,0,0,0,0
891e064d807ffff,0,0,0,0,0,0,0,0,0,0
891e064d80bffff,0,0,0,0,0,0,0,0,0,0
891e064d80fffff,0,0,0,0,0,0,0,0,0,0
891e064d813ffff,0,0,0,0,0,0,0,0,0,0
891e064d817ffff,0,0,0,0,0,0,0,0,0,0
891e064d81bffff,0,0,0,0,0,0,0,0,0,0
891e064d823ffff,0,0,0,0,0,0,0,0,0,0
891e064d827ffff,0,0,0,0,0,0,0,0,0,0
891e064d82bffff,0,0,0,0,0,0,0,0,0,0
891e064d82fffff,0,0,0,0,0,0,0,0,0,0
891e064d833ffff,0,0,0,0,0,0,0,0,0,0
891e064d837ffff,0,0,0,0,0,0,0,0,0,0
891e064d83bffff,0,0,0,0,0,0,0,0,0,0
891e064d843ffff,0,0,0,0,0,0,0,0,0,0
891e064d847ffff,0,0,0,0,0,0,0,0,0,0
891e064d84bffff,0,0,0,0,0,0,0,0,0,0
891e064d84fffff,0,0,0,0,0,0,0,0,0,0
891e064d853ffff,0,0,0,0,0,0,0,0,0,0
891e064d857ffff,0,0,0,0,0,0,0,0,0,0
891e064d85bffff,0,0,0,0,0,0,0,0,0,0
891e064d863ffff,0,0,0,0,0,0,0,0,0,0
891e064d867ffff,0,0,0,0,0,0,1,0,0,0
891e064d86bffff,0,0,0,0,0,0,0,0,0,0
891e064d86fffff,0,0,0,0,0,0,0,0,0,0
891e064d873ffff,0,0,0,0,0,0,0,0,0,0
891e064d877ffff,0,0,0,0,0,0,0,0,0,0
891e064d87bffff,0,0,0,0,0,0,0,0,0,0
891e064d887ffff,0,0,0,0,0,0,0,0,0,0
